actor_1,actor_2,weight
Samuel L. Jackson,Robin Wright,1
Viola Davis,Oscar Isaac,1
Chiwetel Ejiofor,Josh Brolin,2
Saoirse Ronan,Ben Mendelsohn,1
Javier Bardem,Tom Cruise,1
Amy Adams,Tom Hanks,2
Emma Stone,Josh Brolin,1
Robert Downey Jr,Martin Freeman,1
Frances McDormand,Jonah Hill,1
Tom Hardy,Naomie Harris,1
Michael B. Jordan,Jeffrey Wright,1
Octavia Spencer,Samuel L. Jackson,3
Reese Witherspoon,Janelle Monáe,1
Meryl Streep,Amy Adams,2
Jessica Chastain,Idris Elba,1
Annette Bening,Robert Downey Jr,2
Samuel L. Jackson,Michael Keaton,5
Viola Davis,Michael Shannon,1
Alicia Vikander,Benedict Cumberbatch,1
Leonardo DiCaprio,Amy Adams,1
Nicole Kidman,Robert Downey Jr,1
Brie Larson,Woody Harrelson,2
Amy Adams,Steve Carell,1
Jake Gyllenhaal,Paul Dano,3
Kyle Chandler,Lucas Hedges,1
Marion Cotillard,Adam Driver,1
Ralph Fiennes,Tiffany Haddish,1
Meryl Streep,Annette Bening,1
Natalie Portman,Josh Brolin,1
Michael Shannon,Joel Edgerton,2
Idris Elba,Chiwetel Ejiofor,1
Octavia Spencer,Robert Downey Jr,2
Jake Gyllenhaal,Hugh Jackman,1
Emma Stone,Michael Keaton,1
Meryl Streep,Steve Carell,1
Robert Downey Jr,Michael Keaton,1
Robin Wright,Ben Foster,1
Julianne Moore,Michael Shannon,2
Benicio Del Toro,Josh Brolin,5
Leonardo DiCaprio,Adam Driver,1
Samuel L. Jackson,Allison Janney,1
Joel Edgerton,Benedict Cumberbatch,1
Julianne Moore,Tom Cruise,1
Denzel Washington,Tom Hanks,1
Jeffrey Wright,Tom Hiddleston,1
Emma Stone,Jonah Hill,1
Michelle Williams,Mark Ruffalo,1
Ralph Fiennes,Rachel Weisz,2
Hailee Steinfeld,Taraji P. Henson,1
Bob Odenkirk,Sarah Paulson,1
Joaquin Phoenix,Charlize Theron,1
Ryan Gosling,Claire Foy,1
Brie Larson,Sam Rockwell,1
Jessica Chastain,Timothée Chalamet,1
Mark Rylance,Letitia Wright,1
Julianne Moore,Robin Wright,1
Josh Brolin,Matt Damon,2
Jesse Plemons,Daniel Kaluuya,1
Joel Edgerton,Will Smith,1
Michael Fassbender,Samuel L. Jackson,1
Mahershala Ali,Taraji P. Henson,2
Robert Downey Jr,Josh Brolin,3
Tom Hiddleston,Letitia Wright,2
Viola Davis,Amy Adams,1
Frances McDormand,Amy Adams,1
Josh Brolin,Jeffrey Wright,1
Benicio Del Toro,Carrie Coon,1
Evan Rachel Wood,Jeffrey Wright,1
Jessica Chastain,Octavia Spencer,1
Margot Robbie,Nicole Kidman,1
Jessica Chastain,Charlize Theron,1
Julianne Moore,Samuel L. Jackson,1
Hugh Jackman,Michael Fassbender,3
Idris Elba,Kate Winslet,1
Leonardo DiCaprio,Evan Rachel Wood,1
Brie Larson,Bradley Cooper,1
Michael Fassbender,Kate Winslet,1
Samuel L. Jackson,Adam Driver,1
Samuel L. Jackson,Sarah Paulson,2
Tom Hardy,Will Smith,1
Leonardo DiCaprio,Marion Cotillard,1
Benicio Del Toro,Letitia Wright,1
Matt Damon,Will Smith,2
Benicio Del Toro,Bradley Cooper,2
Michael Stuhlbarg,Benedict Cumberbatch,1
Michael B. Jordan,Daniel Kaluuya,1
Chiwetel Ejiofor,Tilda Swinton,1
Octavia Spencer,Woody Harrelson,1
Mark Ruffalo,Josh Brolin,3
Oscar Isaac,Jennifer Lawrence,1
Woody Harrelson,Naomie Harris,2
Oscar Isaac,Chris Pine,1
Bryan Cranston,Jonah Hill,1
Meryl Streep,Tilda Swinton,1
Oscar Isaac,Josh Brolin,1
Woody Harrelson,Sam Rockwell,2
Michael Shannon,Reese Witherspoon,1
Oscar Isaac,Ryan Gosling,1
Matthew Rhys,Jeffrey Wright,1
Robert Downey Jr,Carrie Coon,1
Meryl Streep,Woody Harrelson,1
Frances McDormand,Charlize Theron,2
Keri Russell,Evan Rachel Wood,1
Saoirse Ronan,Lucas Hedges,2
Ryan Gosling,Julianne Moore,1
Naomie Harris,Benedict Cumberbatch,1
Viola Davis,Hailee Steinfeld,1
Riz Ahmed,David Oyelowo,1
Lupita Nyong'o,Ralph Fiennes,1
Viola Davis,Emma Stone,1
Joaquin Phoenix,Idris Elba,1
Meryl Streep,Reese Witherspoon,1
Oscar Isaac,Hugh Jackman,1
Tom Hanks,Sarah Paulson,1
Bryan Cranston,Tilda Swinton,1
Joaquin Phoenix,Riz Ahmed,1
Viola Davis,Jake Gyllenhaal,1
Samuel L. Jackson,Keri Russell,1
Octavia Spencer,Janelle Monáe,1
Julianne Moore,Brie Larson,1
Javier Bardem,Mark Ruffalo,1
Jesse Plemons,Ben Foster,2
Hailee Steinfeld,Tiffany Haddish,1
Rachel Weisz,Tom Hiddleston,1
Oscar Isaac,Samuel L. Jackson,2
Kyle Chandler,Joel Edgerton,1
Mark Rylance,Timothée Chalamet,1
Annette Bening,Janelle Monáe,1
Lupita Nyong'o,Martin Freeman,1
Annette Bening,Saoirse Ronan,1
Saoirse Ronan,Tom Hiddleston,1
Benicio Del Toro,Matt Damon,2
Amy Adams,Michael Stuhlbarg,1
Benicio Del Toro,Daniel Kaluuya,1
Leonardo DiCaprio,Gary Oldman,1
Leonardo DiCaprio,Jennifer Lawrence,1
Michael Fassbender,Michael Stuhlbarg,1
Tom Hardy,Gary Oldman,4
Michael Fassbender,Paul Dano,1
Margot Robbie,Will Smith,2
Naomie Harris,Jeffrey Wright,1
Natalie Portman,Matt Damon,1
Ryan Gosling,Mahershala Ali,1
Tom Hardy,Christian Bale,1
Cate Blanchett,Matt Damon,5
Jake Gyllenhaal,Allison Janney,1
Lupita Nyong'o,Idris Elba,1
Matt Damon,Hailee Steinfeld,1
Michael Stuhlbarg,Matthew Rhys,1
Amy Adams,Jake Gyllenhaal,1
Chiwetel Ejiofor,Kate Winslet,1
Natalie Portman,Janelle Monáe,2
Charlize Theron,Bryan Cranston,1
Denzel Washington,Josh Brolin,1
Frances McDormand,Benicio Del Toro,1
Steve Carell,Octavia Spencer,1
Viola Davis,Benicio Del Toro,1
Josh Brolin,Benedict Cumberbatch,2
Kyle Chandler,Bryan Cranston,1
Kate Winslet,Bryan Cranston,1
Mark Ruffalo,Allison Janney,1
Mark Ruffalo,Matt Damon,2
Samuel L. Jackson,Hailee Steinfeld,1
Javier Bardem,Jennifer Lawrence,1
Kyle Chandler,Jeffrey Wright,2
Idris Elba,Taraji P. Henson,1
Charlize Theron,Chiwetel Ejiofor,1
Carrie Coon,Tom Hiddleston,1
Woody Harrelson,Lucas Hedges,1
Matt Damon,Lucas Hedges,2
Tom Hardy,Ben Mendelsohn,1
David Oyelowo,Chris Pine,1
Benedict Cumberbatch,Hailee Steinfeld,1
Emma Stone,Bob Odenkirk,1
Ryan Gosling,Margot Robbie,1
Natalie Portman,Jeffrey Wright,1
Steve Carell,Margot Robbie,1
Mark Ruffalo,Reese Witherspoon,1
Robert Downey Jr,Kumail Nanjiani,1
Marion Cotillard,Ben Foster,1
Mark Ruffalo,Rachel Weisz,1
Oscar Isaac,Hailee Steinfeld,1
Chris Pine,Benedict Cumberbatch,1
Amy Adams,Robin Wright,1
Benicio Del Toro,Jeffrey Wright,2
Lupita Nyong'o,Sterling K. Brown,1
Nicole Kidman,Allison Janney,2
Naomie Harris,Kate Winslet,1
Jonah Hill,Timothée Chalamet,1
Jesse Plemons,LaKeith Stanfield,1
Ralph Fiennes,Tilda Swinton,3
Ryan Gosling,Robin Wright,1
Samuel L. Jackson,Carrie Coon,1
Leonardo DiCaprio,Jesse Plemons,1
Martin Freeman,Benedict Cumberbatch,3
Cate Blanchett,Sarah Paulson,2
Joaquin Phoenix,Michael Keaton,1
Samuel L. Jackson,Letitia Wright,2
Mahershala Ali,Keri Russell,1
Leonardo DiCaprio,Michael Shannon,1
David Oyelowo,LaKeith Stanfield,1
Ben Mendelsohn,Bradley Cooper,1
Jessica Chastain,Tom Hiddleston,2
Matt Damon,Benedict Cumberbatch,1
Michael Fassbender,Idris Elba,1
Michael Stuhlbarg,Will Smith,1
Oscar Isaac,David Oyelowo,1
Hugh Jackman,Joel Edgerton,1
Cate Blanchett,Julianne Moore,3
Natalie Portman,Benedict Cumberbatch,2
Viola Davis,Allison Janney,2
Charlize Theron,Josh Brolin,1
Benedict Cumberbatch,Paul Dano,1
Mark Rylance,Jonah Hill,1
Gary Oldman,Keri Russell,1
Benicio Del Toro,Benedict Cumberbatch,1
Viola Davis,David Oyelowo,1
Frances McDormand,Tilda Swinton,5
Oscar Isaac,Mahershala Ali,1
Viola Davis,Javier Bardem,1
Jessica Chastain,Michael Shannon,1
Alicia Vikander,Matt Damon,1
Joaquin Phoenix,Jake Gyllenhaal,1
Oscar Isaac,Cate Blanchett,1
Viola Davis,Idris Elba,1
Keri Russell,Adam Driver,1
Emma Stone,Allison Janney,1
Idris Elba,Robert Downey Jr,2
Jessica Chastain,Matt Damon,2
Tom Hanks,Bryan Cranston,4
Leonardo DiCaprio,Tom Hardy,2
Meryl Streep,Sarah Paulson,1
Robert Downey Jr,Benedict Cumberbatch,2
Sam Rockwell,Allison Janney,4
Nicole Kidman,Michael Keaton,1
Lupita Nyong'o,Benicio Del Toro,1
Viola Davis,Margot Robbie,1
Chiwetel Ejiofor,Taraji P. Henson,2
Riz Ahmed,Woody Harrelson,1
Gary Oldman,Benicio Del Toro,1
Tom Hardy,Marion Cotillard,2
Hugh Jackman,Michelle Williams,2
Ben Foster,Timothée Chalamet,1
Jesse Plemons,Timothée Chalamet,1
Alicia Vikander,Janelle Monáe,1
Matt Damon,Tom Hiddleston,1
Michael Stuhlbarg,Bryan Cranston,1
Joaquin Phoenix,Amy Adams,2
Samuel L. Jackson,Bob Odenkirk,1
Woody Harrelson,Will Smith,1
Paul Dano,Jeffrey Wright,1
Meryl Streep,Michael Stuhlbarg,1
Cate Blanchett,Mahershala Ali,1
Saoirse Ronan,Timothée Chalamet,3
Brie Larson,Samuel L. Jackson,5
Leonardo DiCaprio,Michael Stuhlbarg,1
Hugh Jackman,Emma Stone,1
Lupita Nyong'o,Letitia Wright,1
Gary Oldman,Jessica Chastain,1
Javier Bardem,Idris Elba,1
Michael Fassbender,Natalie Portman,1
Cate Blanchett,Michael Stuhlbarg,1
Meryl Streep,Tom Cruise,1
Jennifer Lawrence,Woody Harrelson,4
Benicio Del Toro,Sam Rockwell,1
Carrie Coon,Jesse Plemons,1
Josh Brolin,Will Smith,1
Ralph Fiennes,Lucas Hedges,1
Ben Mendelsohn,Robin Wright,1
Joaquin Phoenix,Benicio Del Toro,1
Brie Larson,Robert Downey Jr,1
Josh Brolin,Tom Hiddleston,2
Kate Winslet,Will Smith,1
Nicole Kidman,Sarah Paulson,1
Charlize Theron,David Oyelowo,1
LaKeith Stanfield,Matthew Rhys,1
Sarah Paulson,Matthew Rhys,1
Ralph Fiennes,Kumail Nanjiani,1
Chiwetel Ejiofor,Matt Damon,1
Jake Gyllenhaal,Naomie Harris,1
Tom Hanks,Robin Wright,1
Ralph Fiennes,Marion Cotillard,1
Steve Carell,Lucas Hedges,1
Steve Carell,Will Smith,1
Mahershala Ali,Janelle Monáe,2
Marion Cotillard,Allison Janney,1
Meryl Streep,Matt Damon,1
Oscar Isaac,Timothée Chalamet,1
Ralph Fiennes,Kate Winslet,1
Ryan Gosling,Bradley Cooper,1
Saoirse Ronan,Benicio Del Toro,1
Kumail Nanjiani,Allison Janney,1
Margot Robbie,Jonah Hill,1
Amy Adams,Bradley Cooper,1
Mahershala Ali,Octavia Spencer,2
Natalie Portman,Benicio Del Toro,1
Natalie Portman,Brie Larson,1
Leonardo DiCaprio,Matt Damon,1
Natalie Portman,Mark Ruffalo,1
Benedict Cumberbatch,Tilda Swinton,2
Lupita Nyong'o,Samuel L. Jackson,1
Jonah Hill,Tiffany Haddish,1
Nicole Kidman,Mark Ruffalo,1
Benicio Del Toro,Mark Ruffalo,1
Matthew Rhys,Adam Driver,1
Joaquin Phoenix,Bradley Cooper,1
Jennifer Lawrence,Timothée Chalamet,1
Julianne Moore,Allison Janney,1
Tom Hardy,Benedict Cumberbatch,1
Frances McDormand,Woody Harrelson,2
Michael Keaton,Allison Janney,1
Gary Oldman,Robin Wright,2
Jennifer Lawrence,Jonah Hill,1
Lupita Nyong'o,Daniel Kaluuya,1
Robert Downey Jr,Letitia Wright,2
Javier Bardem,Charlize Theron,1
Michael B. Jordan,Bryan Cranston,1
Oscar Isaac,Alicia Vikander,1
Steve Carell,Taraji P. Henson,2
Michael Shannon,Tilda Swinton,1
Michael Keaton,Marion Cotillard,1
Tom Hanks,Michael Keaton,3
Jessica Chastain,Michael Stuhlbarg,1
Robin Wright,Martin Freeman,1
Sam Rockwell,Lucas Hedges,1
Robert Downey Jr,Mark Ruffalo,6
Benicio Del Toro,Samuel L. Jackson,1
Ryan Gosling,Saoirse Ronan,1
Steve Carell,Chiwetel Ejiofor,1
Javier Bardem,Woody Harrelson,1
Matt Damon,Adam Driver,1
Ryan Gosling,Janelle Monáe,1
Ryan Gosling,Steve Carell,2
David Oyelowo,Adam Driver,1
Michael Shannon,LaKeith Stanfield,1
Oscar Isaac,Keri Russell,1
Tilda Swinton,Rachel Weisz,1
Christian Bale,Samuel L. Jackson,1
Mark Ruffalo,Kate Winslet,2
Steve Carell,Bryan Cranston,2
Benedict Cumberbatch,Tiffany Haddish,1
Emma Stone,Andrew Garfield,2
Sam Rockwell,Taraji P. Henson,1
Chiwetel Ejiofor,Sarah Paulson,2
Michael Stuhlbarg,Adam Driver,1
Robert Downey Jr,Samuel L. Jackson,7
Hugh Jackman,Josh Brolin,1
Michael Fassbender,Josh Brolin,1
Hugh Jackman,Nicole Kidman,2
Jesse Plemons,Jeffrey Wright,1
Margot Robbie,Samuel L. Jackson,1
Reese Witherspoon,Will Smith,1
Reese Witherspoon,Letitia Wright,1
Octavia Spencer,Taraji P. Henson,2
Frances McDormand,Lucas Hedges,2
Ryan Gosling,Josh Brolin,1
Mark Ruffalo,Benedict Cumberbatch,3
Meryl Streep,Jessica Chastain,1
Meryl Streep,Bob Odenkirk,2
Jessica Chastain,Michael Fassbender,1
Leonardo DiCaprio,Ben Mendelsohn,1
Sterling K. Brown,Daniel Kaluuya,1
Ralph Fiennes,Charlize Theron,1
Andrew Garfield,Adam Driver,1
Kyle Chandler,Jonah Hill,1
Charlize Theron,Samuel L. Jackson,1
Andrew Garfield,Claire Foy,1
Idris Elba,Bradley Cooper,1
Mahershala Ali,Bradley Cooper,1
Steve Carell,Allison Janney,3
Tom Cruise,Bryan Cranston,1
Jake Gyllenhaal,Robin Wright,1
Gary Oldman,Marion Cotillard,1
Jonah Hill,Lucas Hedges,1
Octavia Spencer,Will Smith,1
Tom Hardy,Michelle Williams,2
Julianne Moore,Nicole Kidman,1
Ralph Fiennes,Jonah Hill,3
Ben Foster,Rachel Weisz,1
Lupita Nyong'o,Adam Driver,3
Tom Hardy,Chris Pine,1
Jake Gyllenhaal,Michelle Williams,1
Oscar Isaac,Evan Rachel Wood,1
Christian Bale,Matthew Rhys,1
Mark Rylance,Allison Janney,1
Cate Blanchett,Mark Ruffalo,1
Jake Gyllenhaal,Michael Shannon,1
Meryl Streep,Julianne Moore,1
Nicole Kidman,Tatiana Maslany,1
Ryan Gosling,Jeffrey Wright,1
Mark Rylance,Natalie Portman,1
